"NAME_1","month","day","total_count","mean_pop","median_pop","total_baseline_oblast_population","baseline_penetration_rate","current_pop_size","total_baseline_pop","net_outflow","total_current_pop_by_month_and_day","scaling_factor","adjusted_pop_size","net_pop_change","proportional_net_change","date","week","week_adjusted"
"Mykolayiv",7,13,3854,26704.6363636364,24616,1087081.64229356,0.0226441134154969,170198.758912877,42166319.9815403,5588534,5426050.5803198,6.74114357028064,1147334.26931528,60252.6270217248,0.0554260367184583,2022-07-13,28,21
"Mykolayiv",7,14,3949,26704.6363636364,24616,1087081.64229356,0.0226441134154969,174394.109742333,42166319.9815403,5617332,4869389.04898993,7.50586728926943,1308979.04375624,221897.401462681,0.204122112663511,2022-07-14,28,21
"Mykolayiv",7,15,3863,26704.6363636364,24616,1087081.64229356,0.0226441134154969,170596.213201983,42166319.9815403,5647421,5343439.77689889,6.83434276538892,1165912.99549972,78831.3532061605,0.0725164975096438,2022-07-15,28,21
"Mykolayiv",7,16,3799,26704.6363636364,24616,1087081.64229356,0.0226441134154969,167769.87159056,42166319.9815403,5672711,4832344.72725223,7.55194652726925,1266989.09913874,179907.45684518,0.165495809924272,2022-07-16,28,21
"Mykolayiv",7,17,4056,26704.6363636364,24616,1087081.64229356,0.0226441134154969,179119.399623931,42166319.9815403,5691170,5771804.27624312,6.31954034402603,1131952.27232115,44870.630027591,0.0412762282811818,2022-07-17,28,21
"Mykolayiv",7,18,3643,26704.6363636364,24616,1087081.64229356,0.0226441134154969,160880.663912717,42166319.9815403,5709094,5276858.08903665,6.90888884377712,1111506.62408603,24424.9817924653,0.022468396891454,2022-07-18,29,22
"Mykolayiv",7,19,3977,26704.6363636364,24616,1087081.64229356,0.0226441134154969,175630.63419733,42166319.9815403,5733090,5977472.83192979,6.09508917998346,1070484.37816978,-16597.2641237781,-0.0152677255120974,2022-07-19,29,22
"Mykolayiv",7,20,3209,26704.6363636364,24616,1087081.64229356,0.0226441134154969,141714.534860255,42166319.9815403,5760707,4718099.22213507,7.71616095116071,1093492.1601006,6410.5178070413,0.00589699757372057,2022-07-20,29,22
"Mykolayiv",7,21,1361,26704.6363636364,24616,1087081.64229356,0.0226441134154969,60103.9208304166,42166319.9815403,5786121,2086160.6319372,17.4388292179389,1048142.01069015,-38939.6316034065,-0.0358203377634548,2022-07-21,29,22
"Mykolayiv",7,22,1377,26704.6363636364,24616,1087081.64229356,0.0226441134154969,60810.5062332723,42166319.9815403,5814329,2059676.89321024,17.6493658308133,1073266.87086797,-13814.7714255871,-0.0127081268674911,2022-07-22,29,22
