"week","oblast_name","week_number","count","intensity"
2022-04-18,"Mykolaivska",9,0,0
2022-04-18,"Odeska",9,1,0.126742712294043
2022-04-18,"Poltavska",9,0,0
2022-04-18,"Rivnenska",9,0,0
2022-04-18,"Sevastopol",9,0,0
2022-04-18,"Sumska",9,0,0
2022-04-18,"Ternopilska",9,0,0
2022-04-18,"Vinnytska",9,0,0
2022-04-18,"Volynska",9,0,0
2022-04-18,"Zakarpatska",9,0,0
2022-04-18,"Zaporizka",9,2,0.253485424588086
2022-04-18,"Zhytomyrska",9,0,0
2022-04-25,"Autonomous Republic of Crimea",10,0,0
2022-04-25,"Cherkaska",10,0,0
2022-04-25,"Chernihivska",10,0,0
2022-04-25,"Chernivetska",10,0,0
2022-04-25,"Dnipropetrovska",10,7,0.887198986058302
2022-04-25,"Donetska",10,12,1.52091254752852
2022-04-25,"Ivano-Frankivska",10,0,0
2022-04-25,"Kharkivska",10,3,0.380228136882129
2022-04-25,"Khersonska",10,0,0
2022-04-25,"Khmelnytska",10,0,0
2022-04-25,"Kirovohradska",10,0,0
2022-04-25,"Kyiv",10,0,0
2022-04-25,"Kyivska",10,0,0
2022-04-25,"Luhanska",10,43,5.44993662864385
2022-04-25,"Lvivska",10,0,0
2022-04-25,"Mykolaivska",10,0,0
2022-04-25,"Odeska",10,0,0
2022-04-25,"Poltavska",10,0,0
2022-04-25,"Rivnenska",10,0,0
2022-04-25,"Sevastopol",10,0,0
2022-04-25,"Sumska",10,0,0
2022-04-25,"Ternopilska",10,0,0
2022-04-25,"Vinnytska",10,0,0
2022-04-25,"Volynska",10,0,0
2022-04-25,"Zakarpatska",10,0,0
2022-04-25,"Zaporizka",10,0,0
2022-04-25,"Zhytomyrska",10,0,0
2022-05-02,"Autonomous Republic of Crimea",11,0,0
2022-05-02,"Cherkaska",11,0,0
2022-05-02,"Chernihivska",11,0,0
2022-05-02,"Chernivetska",11,0,0
2022-05-02,"Dnipropetrovska",11,0,0
2022-05-02,"Donetska",11,150,19.0114068441065
2022-05-02,"Ivano-Frankivska",11,0,0
2022-05-02,"Kharkivska",11,4,0.506970849176172
2022-05-02,"Khersonska",11,1,0.126742712294043
2022-05-02,"Khmelnytska",11,0,0
2022-05-02,"Kirovohradska",11,4,0.506970849176172
2022-05-02,"Kyiv",11,0,0
2022-05-02,"Kyivska",11,68,8.61850443599493
2022-05-02,"Luhanska",11,195,24.7148288973384
2022-05-02,"Lvivska",11,0,0
2022-05-02,"Mykolaivska",11,0,0
2022-05-02,"Odeska",11,0,0
2022-05-02,"Poltavska",11,1,0.126742712294043
2022-05-02,"Rivnenska",11,0,0
2022-05-02,"Sevastopol",11,0,0
2022-05-02,"Sumska",11,0,0
2022-05-02,"Ternopilska",11,0,0
2022-05-02,"Vinnytska",11,0,0
2022-05-02,"Volynska",11,0,0
2022-05-02,"Zakarpatska",11,0,0
2022-05-02,"Zaporizka",11,0,0
2022-05-02,"Zhytomyrska",11,1,0.126742712294043
2022-05-09,"Autonomous Republic of Crimea",12,0,0
2022-05-09,"Cherkaska",12,0,0
2022-05-09,"Chernihivska",12,5,0.633713561470215
2022-05-09,"Chernivetska",12,0,0
2022-05-09,"Dnipropetrovska",12,0,0
2022-05-09,"Donetska",12,81,10.2661596958175
2022-05-09,"Ivano-Frankivska",12,0,0
2022-05-09,"Kharkivska",12,127,16.0963244613435
2022-05-09,"Khersonska",12,40,5.06970849176172
2022-05-09,"Khmelnytska",12,0,0
2022-05-09,"Kirovohradska",12,0,0
2022-05-09,"Kyiv",12,0,0
2022-05-09,"Kyivska",12,41,5.19645120405577
2022-05-09,"Luhanska",12,139,17.617237008872
2022-05-09,"Lvivska",12,0,0
2022-05-09,"Mykolaivska",12,0,0
2022-05-09,"Odeska",12,0,0
2022-05-09,"Poltavska",12,1,0.126742712294043
2022-05-09,"Rivnenska",12,0,0
2022-05-09,"Sevastopol",12,0,0
2022-05-09,"Sumska",12,0,0
2022-05-09,"Ternopilska",12,0,0
2022-05-09,"Vinnytska",12,2,0.253485424588086
2022-05-09,"Volynska",12,0,0
2022-05-09,"Zakarpatska",12,0,0
2022-05-09,"Zaporizka",12,0,0
2022-05-09,"Zhytomyrska",12,7,0.887198986058302
2022-05-16,"Autonomous Republic of Crimea",13,0,0
2022-05-16,"Cherkaska",13,0,0
2022-05-16,"Chernihivska",13,13,1.64765525982256
2022-05-16,"Chernivetska",13,0,0
2022-05-16,"Dnipropetrovska",13,0,0
2022-05-16,"Donetska",13,9,1.14068441064639
2022-05-16,"Ivano-Frankivska",13,0,0
2022-05-16,"Kharkivska",13,43,5.44993662864385
2022-05-16,"Khersonska",13,1,0.126742712294043
2022-05-16,"Khmelnytska",13,0,0
2022-05-16,"Kirovohradska",13,0,0
2022-05-16,"Kyiv",13,0,0
2022-05-16,"Kyivska",13,146,18.5044359949303
2022-05-16,"Luhanska",13,11,1.39416983523447
2022-05-16,"Lvivska",13,0,0
2022-05-16,"Mykolaivska",13,0,0
2022-05-16,"Odeska",13,0,0
2022-05-16,"Poltavska",13,0,0
2022-05-16,"Rivnenska",13,0,0
2022-05-16,"Sevastopol",13,0,0
2022-05-16,"Sumska",13,0,0
2022-05-16,"Ternopilska",13,0,0
2022-05-16,"Vinnytska",13,0,0
2022-05-16,"Volynska",13,0,0
2022-05-16,"Zakarpatska",13,0,0
2022-05-16,"Zaporizka",13,0,0
2022-05-16,"Zhytomyrska",13,0,0
2022-05-23,"Autonomous Republic of Crimea",14,0,0
2022-05-23,"Cherkaska",14,0,0
2022-05-23,"Chernihivska",14,15,1.90114068441065
