"week","raion_name","week_number","count","intensity"
2022-03-07,"Sievierodonetskyi",3,14,4.3343653250774
2022-03-07,"Starobilskyi",3,0,0
2022-03-07,"Shchastynskyi",3,0,0
2022-03-07,"Drohobytskyi",3,0,0
2022-03-07,"Zolochivskyi",3,0,0
2022-03-07,"Lvivskyi",3,0,0
2022-03-07,"Sambirskyi",3,0,0
2022-03-07,"Stryiskyi",3,0,0
2022-03-07,"Chervonohradskyi",3,0,0
2022-03-07,"Yavorivskyi",3,0,0
2022-03-07,"Bashtanskyi",3,0,0
2022-03-07,"Voznesenskyi",3,0,0
2022-03-07,"Mykolaivskyi",3,0,0
2022-03-07,"Pervomaiskyi",3,0,0
2022-03-07,"Berezivskyi",3,0,0
2022-03-07,"Bilhorod-Dnistrovskyi",3,0,0
2022-03-07,"Bolhradskyi",3,0,0
2022-03-07,"Izmailskyi",3,0,0
2022-03-07,"Odeskyi",3,0,0
2022-03-07,"Podilskyi",3,0,0
2022-03-07,"Rozdilnianskyi",3,0,0
2022-03-07,"Kremenchutskyi",3,0,0
2022-03-07,"Lubenskyi",3,0,0
2022-03-07,"Myrhorodskyi",3,0,0
2022-03-07,"Poltavskyi",3,0,0
2022-03-07,"Varaskyi",3,0,0
2022-03-07,"Dubenskyi",3,0,0
2022-03-07,"Rivnenskyi",3,0,0
2022-03-07,"Sarnenskyi",3,0,0
2022-03-07,"Konotopskyi",3,0,0
2022-03-07,"Okhtyrskyi",3,0,0
2022-03-07,"Romenskyi",3,0,0
2022-03-07,"Sumskyi",3,0,0
2022-03-07,"Shostkynskyi",3,0,0
2022-03-07,"Kremenetskyi",3,0,0
2022-03-07,"Ternopilskyi",3,0,0
2022-03-07,"Chortkivskyi",3,0,0
2022-03-07,"Bohodukhivskyi",3,0,0
2022-03-07,"Iziumskyi",3,0,0
2022-03-07,"Krasnohradskyi",3,0,0
2022-03-07,"Kupianskyi",3,0,0
2022-03-07,"Lozivskyi",3,0,0
2022-03-07,"Kharkivskyi",3,0,0
2022-03-07,"Chuhuivskyi",3,0,0
2022-03-07,"Beryslavskyi",3,0,0
2022-03-07,"Henicheskyi",3,0,0
2022-03-07,"Kakhovskyi",3,0,0
2022-03-07,"Skadovskyi",3,0,0
2022-03-07,"Khersonskyi",3,0,0
2022-03-07,"Kamianets-Podilskyi",3,0,0
2022-03-07,"Khmelnytskyi",3,0,0
2022-03-07,"Shepetivskyi",3,0,0
2022-03-07,"Zvenyhorodskyi",3,0,0
2022-03-07,"Zolotoniskyi",3,0,0
2022-03-07,"Umanskyi",3,0,0
2022-03-07,"Cherkaskyi",3,0,0
2022-03-07,"Vyzhnytskyi",3,0,0
2022-03-07,"Dnistrovskyi",3,0,0
2022-03-07,"Chernivetskyi",3,0,0
2022-03-07,"Koriukivskyi",3,0,0
2022-03-07,"Nizhynskyi",3,0,0
2022-03-07,"Novhorod-Siverskyi",3,0,0
2022-03-07,"Prylutskyi",3,0,0
2022-03-07,"Chernihivskyi",3,1,0.309597523219814
2022-03-07,"Kyiv",3,1,0.309597523219814
2022-03-07,"Sevastopol",3,0,0
2022-03-14,"Bakhchysaraiskyi",4,0,0
2022-03-14,"Bilohirskyi",4,0,0
2022-03-14,"Dzhankoiskyi",4,0,0
2022-03-14,"Yevpatoriiskyi",4,0,0
2022-03-14,"Kerchenskyi",4,0,0
2022-03-14,"Kurmanskyi",4,0,0
2022-03-14,"Perekopskyi",4,0,0
2022-03-14,"Simferopolskyi",4,0,0
2022-03-14,"Feodosiiskyi",4,0,0
2022-03-14,"Yaltynskyi",4,0,0
2022-03-14,"Vinnytskyi",4,2,0.619195046439629
2022-03-14,"Haisynskyi",4,0,0
2022-03-14,"Zhmerynskyi",4,0,0
2022-03-14,"Mohyliv-Podilskyi",4,0,0
2022-03-14,"Tulchynskyi",4,0,0
2022-03-14,"Khmilnytskyi",4,0,0
2022-03-14,"Volodymyrskyi",4,0,0
2022-03-14,"Kamin-Kashyrskyi",4,0,0
2022-03-14,"Kovelskyi",4,0,0
2022-03-14,"Lutskyi",4,0,0
2022-03-14,"Dniprovskyi",4,0,0
2022-03-14,"Kamianskyi",4,3,0.928792569659443
2022-03-14,"Kryvorizkyi",4,0,0
2022-03-14,"Nikopolskyi",4,0,0
2022-03-14,"Novomoskovskyi",4,0,0
2022-03-14,"Pavlohradskyi",4,0,0
2022-03-14,"Synelnykivskyi",4,0,0
2022-03-14,"Bakhmutskyi",4,0,0
2022-03-14,"Volnovaskyi",4,1,0.309597523219814
2022-03-14,"Horlivskyi",4,7,2.1671826625387
2022-03-14,"Donetskyi",4,38,11.7647058823529
2022-03-14,"Kalmiuskyi",4,3,0.928792569659443
2022-03-14,"Kramatorskyi",4,0,0
2022-03-14,"Mariupolskyi",4,0,0
2022-03-14,"Pokrovskyi",4,53,16.4086687306502
2022-03-14,"Berdychivskyi",4,0,0
2022-03-14,"Zhytomyrskyi",4,31,9.59752321981424
2022-03-14,"Korostenskyi",4,20,6.19195046439629
2022-03-14,"Zviahelskyi",4,0,0
2022-03-14,"Berehivskyi",4,0,0
2022-03-14,"Mukachivskyi",4,0,0
2022-03-14,"Rakhivskyi",4,0,0
2022-03-14,"Tiachivskyi",4,0,0
2022-03-14,"Uzhhorodskyi",4,0,0
